"persid";"estanid";"perfilid";"perfil";"perfilgrupo"
"728007775";"0018PB025";"A0500";"Catedratico de universidad";"PDI"
"0ceb541c2";"0000PB997";"7000";"E. TECNICA DE LA UNIVERSIDAD DE ALICANT";"PAS"
"75cfbb8fb";"0013PB012";"7212";"E. ADMINISTRATIVA DE LA UNIV. POLIT. MAD";"PAS"
"afbdba142";"0003PB006";"00064";"PROFESOR ASOCIADO (LOU)";"PDI"
"82d80c91d";"0015PB042";"7002";"E. GESTION DE LA  UNIV. DE ALICANTE";"PAS"
"9b0aca86d";"0000PB997";"7004";"E. ADMINISTRATIVA DE LA UNIV. DE ALICANT";"PAS"
"35b276ad6";"0000PB997";"7000";"E. TECNICA DE LA UNIVERSIDAD DE ALICANT";"PAS"
"ad725eaf1";"0000PB997";"00064";"PROFESOR ASOCIADO (LOU)";"PDI"
"d88bf08c0";"0034PB041";"A0506";"Profesor titular escuela universitaria";"PDI"
"dcae03a1f";"0028PB059";"7000";"E. TECNICA DE LA UNIVERSIDAD DE ALICANT";"PAS"
"3ce4dac6f";"0025PB051";"00064";"PROFESOR ASOCIADO (LOU)";"PDI"
"1b16eeea2";"0019PB013";"A0500";"Catedratico de universidad";"PDI"
"af9cfe444";"0025PB013";"00064";"PROFESOR ASOCIADO (LOU)";"PDI"
"38cc5a82c";"0033PB090";"7004";"E. ADMINISTRATIVA DE LA UNIV. DE ALICANT";"PAS"
"e5b4b0469";"0000PB997";"7006";"E. AUXILIAR DE LA UNIV. DE ALICANTE";"PAS"
"fe9fd0193";"0007PB008";"CARGO";"CARGO";"OTROS"
"fe9fd0193";"0003PB033";"A0504";"Profesor titular universidad";"PDI"
"6899d33aa";"0028PB092";"7105";"E. ADMINISTRATIVA DE LA UNIV. DE SEVILLA";"PAS"
"4e48974c0";"0033PB018";"7001";"E. ARCHI.,BIBLIOT. Y DOCUM. U. ALICANTE";"PAS"
"151cb63a1";"0000PB997";"20090A";"TECNICO MEDIO BIBLIOTECA";"PAS"
"f770b07e3";"0019PB016";"A0500";"Catedratico de universidad";"PDI"
"62e56efd3";"0001PB087";"7189";"E. CONSERJE";"PAS"
"7b0870105";"0020PB041";"00064";"PROFESOR ASOCIADO (LOU)";"PDI"
"437b36c6e";"0034PB078";"00064";"PROFESOR ASOCIADO (LOU)";"PDI"
"04e27588b";"0015PB055";"A0504";"Profesor titular universidad";"PDI"
"4ab65fdd0";"0034PB042";"A0506";"Profesor titular escuela universitaria";"PDI"
"81d86c8df";"0028PB040";"7000";"E. TECNICA DE LA UNIVERSIDAD DE ALICANT";"PAS"
"9f26bcd3a";"0000PB997";"7004";"E. ADMINISTRATIVA DE LA UNIV. DE ALICANT";"PAS"
"969525c5f";"0000PB997";"CARGO";"CARGO";"OTROS"
"03ccdea7d";"0000PB997";"7035";"E. TECNICO MEDIO DE LA UNIV. DE ALIC.";"PAS"
"e55757946";"0019PB008";"BECVALI";"INVESTIGADOR EN FORMACION (C-VALI)";"PDI"
"17fbfe45c";"0028PB040";"7002";"E. GESTION DE LA  UNIV. DE ALICANTE";"PAS"
"af17a2770";"0000PB997";"7056";"E. CONDUCTORES";"PAS"
"38a94a72c";"0000PB997";"00064";"PROFESOR ASOCIADO (LOU)";"PDI"
"4679c0a1e";"0025PB042";"7189";"E. CONSERJE";"PAS"
"e28e48151";"0015PB048";"A0504";"Profesor titular universidad";"PDI"
"72c0930c9";"0015PB054";"A0500";"Catedratico de universidad";"PDI"
"77553be51";"0003PB016";"00064";"PROFESOR ASOCIADO (LOU)";"PDI"
"fed1852c3";"0014PB018";"00064";"PROFESOR ASOCIADO (LOU)";"PDI"
